make_model,hp_kW,km,age,price,Gearing_Type,Gears
Audi A1,85.0,9082.0,1.0,18900,Automatic,7.0
Audi A1,85.0,9580.0,1.0,18900,Automatic,5.0
Audi A1,85.0,10013.0,1.0,18900,Automatic,5.0
Audi A1,85.0,10450.0,1.0,18900,Automatic,5.0
Audi A1,85.0,14878.0,1.0,18900,Automatic,7.0
Audi A1,85.0,10273.0,1.0,18900,Automatic,5.0
Audi A1,71.0,47500.0,3.0,18900,Automatic,7.0
Audi A1,85.0,9466.0,1.0,18900,Automatic,5.0
Audi A1,85.0,18971.0,1.0,18900,Automatic,7.0
Audi A1,70.0,31877.0,1.0,18900,Automatic,7.0
Audi A1,85.0,9878.0,1.0,18900,Automatic,5.0
Audi A1,70.0,17535.0,1.0,18900,Automatic,7.0
Audi A1,92.0,76264.0,3.0,18850,Automatic,7.0
Audi A1,70.0,6695.0,1.0,18850,Automatic,7.0
Audi A1,92.0,21275.0,3.0,18850,Automatic,7.0
Audi A1,66.0,12261.0,1.0,18850,Automatic,7.0
Audi A1,70.0,3620.0,1.0,18840,Automatic,7.0
Audi A1,85.0,8330.0,1.0,18800,Automatic,5.0
Audi A1,70.0,20306.0,1.0,18750,Automatic,7.0
Audi A1,85.0,1.0,0.0,18730,Automatic,7.0
Audi A1,85.0,27000.0,3.0,18700,Automatic,7.0
Audi A1,92.0,31750.0,3.0,18690,Automatic,7.0
Audi A1,70.0,19800.0,2.0,18600,Automatic,7.0
Audi A1,85.0,52000.0,3.0,18500,Automatic,7.0
Audi A1,70.0,15500.0,1.0,18500,Automatic,7.0
Audi A1,92.0,25977.0,3.0,18620,Automatic,7.0
Audi A1,70.0,9000.0,2.0,18500,Automatic,7.0
Audi A1,66.0,65000.0,2.0,18500,Automatic,7.0
Audi A1,85.0,14493.0,1.0,18500,Automatic,7.0
Audi A1,92.0,33500.0,2.0,18500,Automatic,7.0
Audi A1,70.0,4800.0,1.0,18333,Automatic,7.0
Audi A1,70.0,51000.0,3.0,18350,Automatic,7.0
Audi A1,70.0,7307.0,2.0,18349,Automatic,7.0
Audi A1,70.0,4800.0,1.0,18333,Automatic,7.0
Audi A1,70.0,5500.0,1.0,18333,Automatic,7.0
Audi A1,66.0,35500.0,1.0,18300,Automatic,7.0
Audi A1,92.0,18000.0,2.0,18300,Automatic,7.0
Audi A1,92.0,40000.0,2.0,18290,Automatic,7.0
Audi A1,85.0,14551.0,1.0,18250,Automatic,7.0
Audi A1,85.0,16500.0,1.0,18200,Automatic,6.0
Audi A1,85.0,26700.0,3.0,18185,Automatic,7.0
Audi A1,70.0,8000.0,2.0,18150,Automatic,7.0
Audi A1,85.0,15000.0,1.0,18000,Automatic,6.0
Audi A1,92.0,14436.0,2.0,17998,Automatic,7.0
Audi A1,92.0,72624.0,3.0,17998,Automatic,7.0
Audi A1,66.0,13960.0,3.0,17990,Automatic,7.0
Audi A1,92.0,40301.0,3.0,17990,Automatic,7.0
Audi A1,71.0,19990.0,2.0,17990,Automatic,7.0
Audi A1,70.0,3087.0,1.0,17990,Automatic,7.0
Audi A1,66.0,37626.0,3.0,17989,Automatic,7.0
Audi A1,70.0,22980.0,2.0,17980,Automatic,7.0
Audi A1,66.0,57926.0,3.0,17980,Automatic,7.0
Audi A1,92.0,3900.0,2.0,17970,Automatic,7.0
Audi A1,92.0,7924.0,3.0,17980,Automatic,7.0
Audi A1,85.0,6257.0,2.0,17970,Automatic,7.0
Audi A1,85.0,29800.0,3.0,17950,Automatic,7.0
Audi A1,70.0,35816.0,3.0,17950,Automatic,7.0
Audi A1,92.0,12960.0,1.0,17950,Automatic,7.0
Audi A1,70.0,8600.0,1.0,17950,Automatic,7.0
Audi A1,70.0,14300.0,2.0,17950,Automatic,7.0
Audi A1,70.0,9463.0,1.0,17944,Automatic,7.0
Audi A1,92.0,20326.0,3.0,17940,Automatic,7.0
Audi A1,70.0,70000.0,3.0,17950,Automatic,7.0
Audi A1,66.0,23664.0,1.0,17500,Automatic,7.0
Audi A1,66.0,51900.0,3.0,17500,Automatic,7.0
Audi A1,70.0,15000.0,2.0,17500,Automatic,7.0
Audi A1,92.0,33000.0,3.0,17500,Automatic,7.0
Audi A1,66.0,12000.0,3.0,17450,Automatic,7.0
Audi A1,66.0,42000.0,2.0,17500,Automatic,7.0
Audi A1,85.0,25976.0,2.0,17930,Automatic,7.0
Audi A1,70.0,26299.0,2.0,17500,Automatic,5.0
Audi A1,70.0,40000.0,2.0,17495,Automatic,7.0
Audi A1,66.0,36530.0,2.0,17490,Automatic,7.0
Audi A1,67.0,29159.0,2.0,17490,Automatic,7.0
Audi A1,141.0,55000.0,3.0,17490,Automatic,7.0
Audi A1,70.0,40133.0,3.0,17449,Automatic,7.0
Audi A1,92.0,38562.0,2.0,17445,Automatic,7.0
Audi A1,70.0,7300.0,1.0,17444,Automatic,7.0
Audi A1,92.0,10457.0,2.0,17440,Automatic,7.0
Audi A1,70.0,27058.0,3.0,17420,Automatic,7.0
Audi A1,70.0,38344.0,3.0,17450,Automatic,7.0
Audi A1,110.0,45276.0,3.0,17445,Automatic,7.0
Audi A1,70.0,16607.0,1.0,17370,Automatic,7.0
Audi A1,70.0,26462.0,3.0,17350,Automatic,7.0
Audi A1,66.0,62000.0,2.0,17900,Automatic,7.0
Audi A1,85.0,40257.0,2.0,17930,Automatic,7.0
Audi A1,85.0,36709.0,3.0,17920,Automatic,7.0
Audi A1,70.0,25330.0,2.0,17900,Automatic,7.0
Audi A1,66.0,11300.0,3.0,17900,Automatic,7.0
Audi A1,70.0,10170.0,1.0,17900,Automatic,7.0
Audi A1,85.0,12260.0,1.0,17900,Automatic,7.0
Audi A1,70.0,44604.0,3.0,17900,Automatic,7.0
Audi A1,71.0,25751.0,2.0,17900,Automatic,7.0
Audi A1,70.0,13000.0,2.0,17900,Automatic,7.0
Audi A1,70.0,63136.0,3.0,17900,Automatic,7.0
Audi A1,85.0,21900.0,2.0,17900,Automatic,7.0
Audi A1,70.0,23357.0,3.0,17900,Automatic,7.0
Audi A1,110.0,40000.0,3.0,17900,Automatic,7.0
Audi A1,70.0,63136.0,3.0,17900,Automatic,7.0
Audi A1,92.0,27950.0,3.0,17890,Automatic,7.0
Audi A1,70.0,3150.0,3.0,16900,Automatic,7.0
Audi A1,70.0,4810.0,1.0,17900,Automatic,7.0
Audi A1,66.0,32700.0,2.0,16900,Automatic,7.0
Audi A1,66.0,67790.0,3.0,16900,Automatic,7.0
Audi A1,85.0,63500.0,2.0,17890,Automatic,7.0
Audi A1,93.0,37702.0,2.0,17900,Automatic,7.0
Audi A1,66.0,40164.0,2.0,17900,Automatic,7.0
Audi A1,71.0,47750.0,3.0,16900,Automatic,7.0
Audi A1,92.0,39600.0,3.0,16890,Automatic,7.0
Audi A1,70.0,29200.0,3.0,16890,Automatic,7.0
Audi A1,70.0,32103.0,3.0,16880,Automatic,7.0
Audi A1,70.0,19700.0,2.0,16880,Automatic,7.0
Audi A1,70.0,6680.0,2.0,16880,Automatic,8.0
Audi A1,92.0,49100.0,3.0,16880,Automatic,6.0
Audi A1,92.0,30348.0,3.0,16879,Automatic,7.0
Audi A1,66.0,7680.0,2.0,16870,Automatic,7.0
Audi A1,66.0,36400.0,3.0,16850,Automatic,7.0
Audi A1,92.0,49800.0,3.0,16840,Automatic,7.0
Audi A1,92.0,50200.0,3.0,16830,Automatic,7.0
Audi A1,92.0,47500.0,3.0,16876,Automatic,7.0
Audi A1,70.0,24762.0,2.0,16820,Automatic,7.0
Audi A1,70.0,36236.0,3.0,16800,Automatic,5.0
Audi A1,92.0,38831.0,3.0,16790,Automatic,7.0
Audi A1,66.0,18556.0,2.0,16780,Automatic,7.0
Audi A1,85.0,36625.0,3.0,16530,Automatic,7.0
Audi A1,92.0,25000.0,3.0,16500,Automatic,7.0
Audi A1,85.0,36041.0,2.0,16500,Automatic,7.0
Audi A1,85.0,36500.0,3.0,16500,Automatic,7.0
Audi A1,92.0,25000.0,3.0,16500,Automatic,7.0
Audi A1,85.0,66000.0,3.0,16500,Automatic,7.0
Audi A1,67.0,90000.0,3.0,16490,Automatic,7.0
Audi A1,70.0,14000.0,3.0,16490,Automatic,7.0
Audi A1,70.0,16081.0,3.0,16490,Automatic,7.0
Audi A1,92.0,32863.0,3.0,16480,Automatic,6.0
Audi A1,70.0,54889.0,3.0,16480,Automatic,7.0
Audi A1,70.0,18392.0,3.0,16450,Automatic,7.0
Audi A1,92.0,40800.0,3.0,16480,Automatic,7.0
Audi A1,66.0,60490.0,3.0,16480,Automatic,7.0
Audi A1,70.0,33142.0,3.0,16444,Automatic,7.0
Audi A1,92.0,40500.0,3.0,16430,Automatic,6.0
Audi A1,92.0,13819.0,3.0,16443,Automatic,7.0
Audi A1,66.0,18800.0,3.0,17300,Automatic,7.0
Audi A1,92.0,40550.0,3.0,17240,Automatic,7.0
Audi A1,70.0,25000.0,3.0,17150,Automatic,7.0
Audi A1,85.0,46000.0,2.0,17000,Automatic,7.0
Audi A1,85.0,31987.0,2.0,16999,Automatic,7.0
Audi A1,110.0,52800.0,3.0,16999,Automatic,7.0
Audi A1,67.0,57178.0,3.0,16995,Automatic,7.0
Audi A1,85.0,36500.0,2.0,16990,Automatic,7.0
Audi A1,70.0,14000.0,2.0,16990,Automatic,7.0
Audi A1,92.0,59500.0,3.0,16980,Automatic,7.0
Audi A1,85.0,26861.0,3.0,16970,Automatic,7.0
Audi A1,70.0,13200.0,1.0,16950,Automatic,7.0
Audi A1,70.0,19177.0,2.0,16975,Automatic,7.0
Audi A1,70.0,19044.0,2.0,16950,Automatic,7.0
Audi A1,70.0,40500.0,3.0,16930,Automatic,7.0
Audi A1,66.0,33000.0,2.0,16900,Automatic,7.0
Audi A1,66.0,21000.0,2.0,16900,Automatic,7.0
Audi A1,85.0,58033.0,3.0,16900,Automatic,7.0
Audi A1,85.0,32000.0,2.0,16900,Automatic,7.0
Audi A1,70.0,12500.0,3.0,17890,Automatic,7.0
Audi A1,66.0,36530.0,2.0,17890,Automatic,7.0
Audi A1,70.0,5991.0,1.0,17880,Automatic,7.0
Audi A1,70.0,33306.0,2.0,17880,Automatic,7.0
Audi A1,92.0,52896.0,3.0,17850,Automatic,7.0
Audi A1,85.0,32000.0,2.0,17750,Automatic,7.0
Audi A1,92.0,9998.0,2.0,17820,Automatic,7.0
Audi A1,67.0,49198.0,3.0,17790,Automatic,7.0
Audi A1,66.0,28600.0,2.0,17777,Automatic,7.0
Audi A1,92.0,59000.0,2.0,17820,Automatic,7.0
Audi A1,70.0,10300.0,1.0,17770,Automatic,7.0
Audi A1,70.0,24550.0,2.0,17700,Automatic,7.0
Audi A1,85.0,26000.0,3.0,17700,Automatic,7.0
Audi A1,70.0,40800.0,3.0,17700,Automatic,7.0
Audi A1,70.0,24550.0,2.0,17700,Automatic,7.0
Audi A1,70.0,7701.0,1.0,17660,Automatic,7.0
Audi A1,92.0,19500.0,2.0,17650,Automatic,7.0
Audi A1,66.0,45605.0,2.0,17650,Automatic,7.0
Audi A1,92.0,45200.0,3.0,17530,Automatic,7.0
Audi A1,70.0,22500.0,2.0,17500,Automatic,5.0
Audi A1,85.0,44585.0,3.0,15420,Automatic,7.0
Audi A1,70.0,32750.0,3.0,15250,Automatic,7.0
Audi A1,66.0,61980.0,3.0,15250,Automatic,7.0
Audi A1,70.0,37500.0,2.0,15190,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,66.0,49600.0,3.0,15200,Automatic,5.0
Audi A1,85.0,76275.0,3.0,15180,Automatic,7.0
Audi A1,85.0,46900.0,3.0,15380,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,70.0,10000.0,3.0,14250,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,66.0,49466.0,3.0,14450,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,70.0,48800.0,3.0,14470,Automatic,7.0
Audi A1,85.0,94300.0,3.0,14350,Automatic,7.0
Audi A1,70.0,18600.0,3.0,14210,Automatic,7.0
Audi A1,66.0,67278.0,3.0,14300,Automatic,7.0
Audi A1,66.0,69850.0,3.0,13892,Automatic,7.0
Audi A1,85.0,46000.0,3.0,13990,Automatic,7.0
Audi A1,70.0,10000.0,3.0,13950,Automatic,7.0
Audi A1,66.0,108000.0,3.0,13900,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,70.0,35367.0,3.0,14990,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,63668.0,3.0,15090,Automatic,7.0
Audi A1,85.0,78000.0,2.0,15000,Automatic,7.0
Audi A1,85.0,137066.0,3.0,14998,Automatic,7.0
Audi A1,85.0,34000.0,3.0,14990,Automatic,7.0
Audi A1,70.0,9600.0,2.0,14990,Automatic,7.0
Audi A1,66.0,88800.0,3.0,13880,Automatic,7.0
Audi A1,66.0,59150.0,3.0,13500,Automatic,7.0
Audi A1,66.0,110375.0,3.0,13480,Automatic,7.0
Audi A1,70.0,26310.0,1.0,13450,Automatic,7.0
Audi A1,70.0,65000.0,3.0,13250,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,58380.0,3.0,13599,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,85.0,31100.0,3.0,15700,Automatic,5.0
Audi A1,92.0,79244.0,3.0,15680,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,85.0,58722.0,3.0,15750,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,70.0,11725.0,3.0,15660,Automatic,7.0
Audi A1,85.0,41600.0,3.0,15750,Automatic,7.0
Audi A1,85.0,56000.0,3.0,11000,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,60000.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,70.0,56967.0,3.0,14959,Automatic,7.0
Audi A1,70.0,56967.0,3.0,14959,Automatic,7.0
Audi A1,92.0,87300.0,3.0,14930,Automatic,7.0
Audi A1,70.0,86698.0,3.0,14930,Automatic,7.0
Audi A1,66.0,70000.0,3.0,14950,Automatic,7.0
Audi A1,92.0,87300.0,3.0,14930,Automatic,7.0
Audi A1,85.0,115900.0,2.0,14900,Automatic,7.0
Audi A1,70.0,25000.0,3.0,14850,Automatic,7.0
Audi A1,85.0,58718.0,3.0,14890,Automatic,7.0
Audi A1,92.0,35730.0,3.0,14700,Automatic,7.0
Audi A1,85.0,83450.0,3.0,14640,Automatic,7.0
Audi A1,66.0,75000.0,3.0,14799,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,70.0,58525.0,3.0,16395,Automatic,7.0
Audi A1,70.0,37000.0,3.0,16250,Automatic,7.0
Audi A1,92.0,42000.0,3.0,16400,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,85.0,53000.0,3.0,16290,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,70.0,31235.0,3.0,16199,Automatic,7.0
Audi A1,71.0,72761.0,3.0,15998,Automatic,7.0
Audi A1,85.0,73575.0,3.0,15990,Automatic,7.0
Audi A1,66.0,19000.0,2.0,16000,Automatic,7.0
Audi A1,70.0,19068.0,2.0,16150,Automatic,7.0
Audi A1,85.0,11000.0,3.0,16000,Automatic,7.0
Audi A1,92.0,33200.0,3.0,15993,Automatic,7.0
Audi A1,85.0,45000.0,3.0,15990,Automatic,7.0
Audi A1,66.0,42900.0,3.0,15990,Automatic,7.0
Audi A1,66.0,52900.0,3.0,15980,Automatic,7.0
Audi A1,70.0,40500.0,3.0,15590,Automatic,7.0
Audi A1,85.0,146140.0,3.0,15990,Automatic,7.0
Audi A1,85.0,44300.0,3.0,15980,Automatic,7.0
Audi A1,70.0,9300.0,1.0,15990,Automatic,7.0
Audi A1,85.0,72192.0,3.0,15980,Automatic,7.0
Audi A1,92.0,46123.0,3.0,15990,Automatic,7.0
Audi A1,66.0,18150.0,2.0,15580,Automatic,7.0
Audi A1,70.0,42979.0,3.0,15490,Automatic,7.0
Audi A1,66.0,24000.0,3.0,15500,Automatic,7.0
Audi A1,66.0,40528.0,2.0,15490,Automatic,7.0
Audi A1,70.0,104000.0,3.0,15500,Automatic,7.0
Audi A1,85.0,63473.0,3.0,15500,Automatic,7.0
Audi A1,110.0,29950.0,3.0,15490,Automatic,7.0
Audi A1,92.0,25320.0,3.0,15480,Automatic,7.0
Audi A1,66.0,24030.0,2.0,15450,Automatic,7.0
Audi A1,70.0,36590.0,3.0,15450,Automatic,7.0
Audi A1,85.0,34011.0,3.0,15450,Automatic,7.0
Audi A1,66.0,25600.0,3.0,15450,Automatic,7.0
Audi A1,70.0,13776.0,3.0,15444,Automatic,7.0
Audi A1,70.0,34400.0,3.0,15960,Automatic,7.0
Audi A1,70.0,34400.0,3.0,15960,Automatic,7.0
Audi A1,85.0,66844.0,3.0,15930,Automatic,7.0
Audi A1,66.0,58000.0,3.0,15900,Automatic,7.0
Audi A1,85.0,40000.0,3.0,15900,Automatic,7.0
Audi A1,70.0,41500.0,3.0,15900,Automatic,7.0
Audi A1,70.0,43255.0,3.0,15425,Automatic,7.0
Audi A1,66.0,49351.0,3.0,14990,Automatic,7.0
Audi A1,70.0,42023.0,3.0,15889,Automatic,7.0
Audi A1,70.0,36950.0,3.0,15970,Automatic,7.0
Audi A1,85.0,106829.0,3.0,15889,Automatic,7.0
Audi A1,66.0,49880.0,2.0,15880,Automatic,7.0
Audi A1,70.0,50272.0,3.0,15850,Automatic,7.0
Audi A1,66.0,69900.0,3.0,15850,Automatic,7.0
Audi A1,70.0,19582.0,3.0,15800,Automatic,7.0
Audi A1,70.0,43954.0,3.0,15790,Automatic,7.0
Audi A1,70.0,32910.0,3.0,15840,Automatic,7.0
Audi A1,70.0,23327.0,3.0,15830,Automatic,7.0
Audi A1,70.0,32814.0,3.0,15790,Automatic,7.0
Audi A1,85.0,59702.0,3.0,15789,Automatic,7.0
Audi A1,67.0,65838.0,3.0,15784,Automatic,7.0
Audi A1,70.0,23211.0,3.0,15780,Automatic,7.0
Audi A1,66.0,97930.0,3.0,12170,Manual,5.0
Audi A1,66.0,70000.0,3.0,12490,Manual,5.0
Audi A1,70.0,54392.0,3.0,12820,Manual,5.0
Audi A1,70.0,73000.0,3.0,11950,Manual,5.0
Audi A1,85.0,111380.0,3.0,12480,Manual,5.0
Audi A1,70.0,63350.0,3.0,12480,Manual,5.0
Audi A1,85.0,129550.0,3.0,12480,Manual,5.0
Audi A1,66.0,28978.0,3.0,12900,Manual,5.0
Audi A1,70.0,61220.0,3.0,13420,Manual,5.0
Audi A1,66.0,71000.0,2.0,13490,Manual,5.0
